gene,gene_number,cpath,cost,x,y,z,cc,cc_size
Csnk1a1,22,"[7254, 12621, 13414, 19260]",2.6912472857291143,243.36482945584544,1864.855568828394,0.0,876,2
Ppp2r1a,151,"[7905, 9146, 17107, 18818]",1.6614993814730399,243.604013368051,1867.7644835574745,0.0,877,5
Gsto1,54,"[8648, 18198, 20743, 23048]",2.452285230083351,244.3790131524952,1867.7231156174632,0.0,877,5
Paics,137,"[6794, 11541, 14120, 17650]",2.8574192918389874,242.0899775021967,1867.5740179934246,0.0,877,5
Stip1,221,"[3558, 7118, 16526, 22519]",1.7689730884413815,247.51941361847807,1880.6886899670794,0.0,878,1
negative_control,519,"[3562, 10152, 13215, 22728]",3.830600062508562,249.10582841425077,1866.5750052047529,0.0,879,1
Hspa9,63,"[3573, 16531, 19266, 22303]",1.1048658947056043,110.60643961058659,1853.5433001200563,0.0,880,1
Eif3f,35,"[3591, 15788, 20765, 23754]",1.3786747649039086,115.28606829067921,1915.34842540951,0.0,881,1
negative_control,1464,"[3604, 8155, 16986, 20205]",2.2817303209056568,118.88268977310425,1862.7981855173211,0.0,882,2
Ckap4,14,"[3608, 7936, 10188, 21909]",3.8920491659452328,119.82975706921474,1869.4303558668034,0.0,883,1
Hspa9,63,"[3609, 16543, 19277, 22316]",0.6084970575326427,119.67981042329917,1851.3312217756804,0.0,884,1
Rps6ka2,192,"[3638, 6833, 20515, 22249]",3.9408690530166663,127.9876353069911,1867.984445044915,0.0,885,1
Ptbp1,167,"[3658, 7670, 11852, 17986]",3.4005411306388567,131.65553273267304,1815.3321584669334,0.0,886,1
Ptbp1,167,"[3662, 7678, 11853, 17991]",2.655638703426757,133.7067296670349,1891.3482799256767,0.0,887,1
Fgf7,43,"[11195, 15049, 18224, 20354]",1.6646905221092885,134.16821127071188,1827.9437407116939,0.0,888,3
Gsto1,54,"[8423, 17992, 20526, 22889]",2.2449164915276727,133.9984217776193,1827.3178864299746,0.0,888,3
Csf1,21,"[3673, 9307, 12425, 18229]",1.2279201445373182,135.8620831700673,1868.1144394916996,0.0,889,1
Ckap4,14,"[3687, 7968, 10259, 21968]",3.620594750534435,138.4528324060312,1875.3002785437184,0.0,890,1
Hspa9,63,"[3699, 16568, 19287, 22353]",2.71199046353639,140.66427485934148,1877.1452233055188,0.0,891,1
Ckap4,14,"[3718, 7981, 10281, 21994]",2.201144236980329,146.16078016751172,1911.4896174999146,0.0,892,1
Mrps5,110,"[3757, 10311, 19443, 22261]",0.6567664147729771,154.22007090632852,1891.633963564216,0.0,893,1
Ptbp1,167,"[3774, 7728, 11874, 18033]",0.7464596047710517,158.62992833941885,1881.9353720463828,0.0,894,1
Igfbp4,67,"[3807, 11029, 12243, 17706]",1.3331698870401787,169.4951929354936,1805.2185309412475,0.0,895,1
Ptbp1,167,"[3840, 7762, 11885, 18063]",3.4237062131942277,176.42051580006628,1795.631116947126,0.0,896,1
Rad21,176,"[3854, 11455, 16463, 22273]",0.4598977381075452,178.60544002853743,1895.6820241087323,0.0,897,1
Rad21,176,"[3859, 11460, 16464, 22275]",0.17869763233069227,179.26487946114474,1867.2315671508009,0.0,898,1
negative_control,1925,"[3866, 6639, 10823, 11466]",0.73745080922852,181.17896879333034,1845.5013438630372,0.0,899,2
Ckap4,14,"[3881, 8064, 10408, 22097]",3.754986599381092,185.41894141161507,1811.0607831838352,0.0,900,1
negative_control,1400,"[3926, 10703, 16886, 24149]",2.2960220684008474,195.3987753756743,1837.8724478533006,0.0,901,1
Lmna,77,"[5504, 16901, 18958, 23516]",1.3998753634177588,202.5135659136128,1910.5392535515482,0.0,902,3
Eif3f,35,"[3949, 16015, 21009, 23944]",3.2682699720932216,201.00457255033078,1910.5360967317156,0.0,902,3
Csf1,21,"[3966, 9422, 12553, 18311]",2.8318983962585733,205.15464606531197,1822.8028010310748,0.0,903,1
Hspa9,63,"[3984, 16663, 19339, 22467]",1.537710801617186,209.9874491740665,1841.759208750439,0.0,904,2
Zfp36l2,270,"[7845, 17596, 18150, 21035]",0.47690628658254813,210.4270871782776,1895.633279227011,0.0,905,4
Rps15a,191,"[6407, 12076, 17892, 22999]",1.4761399105604343,209.39154052160225,1896.1582554144206,0.0,905,4
Ptbp1,167,"[4006, 7857, 11916, 18161]",1.2736930896859886,215.70305265346772,1843.2444662130422,0.0,906,1
Hspa9,63,"[4014, 16673, 19346, 22480]",3.351942034111901,217.6461802696975,1910.7048775240764,0.0,907,1
Ptbp1,167,"[4017, 7863, 11918, 18164]",2.1174783791121183,218.88350033932272,1907.9403691622574,0.0,908,1
Gsto1,54,"[8621, 18179, 20723, 23027]",0.931230853588116,229.86809175573737,1832.234067522891,0.0,909,2
Idh2,65,"[4056, 13196, 14113, 19249]",3.0031040491711725,232.44586197673254,1906.7204635395128,0.0,910,1
Ptbp1,167,"[4062, 7888, 11928, 18184]",3.8611011497621175,233.57805969584047,1872.744086420985,0.0,911,1
Rad21,176,"[4073, 11534, 16520, 22287]",1.548012651257403,237.07593583781113,1869.2786640772008,0.0,912,1
Mbd3,84,"[4114, 11842, 14378, 18694]",1.625796852558098,108.30411878088161,1872.5406540178926,0.0,913,1
Gpi1,52,"[4131, 12637, 15561, 20767]",3.2522369826052113,116.06359867614165,1864.3223722541188,0.0,914,1
Oaf,133,"[4994, 12999, 13440, 17425]",0.17386733049581213,118.36860052277191,1902.4354064598897,0.0,915,2
Polr2e,148,"[4158, 8890, 14155, 17792]",3.490118416887466,126.33703853303298,1829.5332346190908,0.0,916,1
Sat1,200,"[4165, 8174, 18395, 20803]",0.5846626141597485,129.73085935899084,1821.6454639070291,0.0,917,1
Gpi1,52,"[4188, 12654, 15601, 20829]",2.920507488553276,136.48973038489913,1820.6853148960786,0.0,918,2
Prmt1,153,"[7695, 13691, 21499, 23816]",1.2789465835125569,140.46381142746668,1811.530006854021,0.0,919,2
Mbd3,84,"[4247, 11875, 14616, 18734]",2.8186834481805163,159.81919570447175,1918.624631499928,0.0,920,1
Lamp1,74,"[7406, 10798, 12873, 15416]",1.5427803289556767,161.75893451045053,1851.1629497872161,0.0,921,2
Mbd3,84,"[4265, 11877, 14625, 18737]",2.3994563394917825,162.63426710915724,1854.9283981849408,0.0,922,1
