gene_name,gene_number,cpath,cost,x,y,z,cc,cc_size
Flnb,1071,"[2230, 5447, 9568, 15065]",1.561381847303616,901.137300273876,1492.719686606768,0.0,938,1
Zmpste24,1072,"[2336, 7052, 11001, 15250]",3.769066613784524,891.706737663221,1490.1330757700052,0.0,216,3
Fkbp5,1076,"[2554, 6618, 10026, 15864]",2.740685650202553,892.4377896636207,1409.855365375893,0.0,934,5
Hibadh,1079,"[1665, 4903, 10955, 12744]",2.0345415423622484,825.6845265294845,1506.2297307430777,0.0,708,3
Hibadh,1079,"[1700, 4923, 10973, 12769]",4.067624854965045,786.2747133200684,1550.689234463492,0.0,722,1
Hibadh,1079,"[1834, 5032, 11059, 12877]",2.693626512926409,825.6205630376495,1475.638136323378,0.0,763,1
Carm1,1083,"[3806, 5529, 12191, 14067]",1.0292473883408522,802.0665249266247,1436.6127326727012,0.0,1439,2
Carm1,1083,"[3834, 5559, 12225, 14094]",2.5779863546836492,803.9294118914407,1504.9737622735374,0.0,1447,1
Rbbp5,1088,"[293, 4492, 9584, 16320]",11.3595064383362,802.7896679152266,1438.4301754549483,0.0,146,1
Csnk1g2,1089,"[3076, 4484, 11908, 12723]",4.383220750098976,806.9682827496938,1402.1144179683126,0.0,1224,1
Csnk1g2,1089,"[3079, 4487, 11916, 12724]",7.965210389853198,787.3959281445052,1469.7570712530683,0.0,1226,1
Itgb1,1090,"[3876, 4543, 9452, 15973]",2.3417405935066506,872.6557255094822,1452.1243469201027,0.0,1454,1
Itgb1,1090,"[3897, 4556, 9465, 15988]",2.2319066141848625,876.9308324202096,1466.6571719968692,0.0,1463,1
Itgb1,1090,"[3969, 4606, 9509, 16040]",2.7540746993281324,922.1016858860487,1507.3720345100076,0.0,1491,1
