hyb,x,y,s,w
2,854.4683746,1453.875502,1.22,2563.149586
2,882.798009,1456.512704,1.22,2007.182212
2,878.7022316,1435.512688,1.22,1755.236041
2,848.9320245,1469.229736,1.22,1602.962423
2,876.407567,1462.786222,1.22,1534.393287
2,888.6971872,1420.204095,1.22,1670.236556
2,853.4957753,1419.246085,1.22,1584.196112
2,870.2442473,1444.849729,1.22,1592.458855
2,839.5868904,1421.808912,1.22,1301.994897
2,865.8121326,1434.253983,1.195171685,1138.942958
2,852.192208,1456.311597,1.22,1070.18257
2,856.6029283,1421.111445,1.22,936.6106372
2,850.2305474,1425.279358,1.22,988.576812
2,871.0176853,1436.164918,1.178386906,928.999387
2,862.9602848,1461.127321,1.22,911.7898627
2,843.3305695,1421.940937,1.22,894.1137768
2,882.1912112,1445.902537,1.22,933.5900316
2,893.0820604,1425.016724,1.22,832.214665
2,887.5135725,1429.072846,1.22,880.6526246
2,890.770621,1444.206536,1.22,835.8616187
2,858.0523576,1426.450689,1.22,803.0490416
2,846.6460272,1436.014337,1.22,686.424986
2,855.0152665,1434.429609,1.22,685.6735657
2,856.2120036,1451.994874,1.096252849,650.0793098
2,869.8088819,1462.056303,1.22,610.6364076
2,892.130532,1492.285906,1.22,1463.175659
2,847.9042882,1482.943945,1.212408311,1283.473383
2,838.9935333,1483.378502,1.22,1196.686629
2,888.9110981,1523.251556,1.22,1123.593356
2,864.7315427,1530.155885,1.22,1098.318939
2,869.8432473,1501.552854,1.22,928.1284927
2,857.6850314,1536.461562,1.22,994.102933
2,842.1654368,1497.940821,1.22,896.2392793
2,876.9303631,1529.000615,1.22,837.2956438
2,850.0563108,1527.947382,1.22,806.5570017
2,888.2004564,1528.354497,1.22,776.4213499
2,877.5190227,1492.1196,1.22,781.6292645
2,876.8304722,1532.725552,1.22,683.1624493
2,882.4887863,1484.161941,1.22,606.8207799
2,857.0891047,1538.668805,1.22,740.7834193
2,934.1916927,1423.141092,1.22,1774.867556
2,904.895338,1425.082781,1.22,1682.291932
2,907.1279954,1448.596485,1.22,1470.917008
2,927.3545327,1432.859923,1.22,1454.844602
2,951.0238463,1448.491565,1.22,1401.935595
2,955.1355916,1444.830866,1.22,1227.195308
2,919.167581,1453.121443,1.22,942.1987729
2,904.8164145,1452.209837,1.22,873.0189039
2,938.6094432,1434.934006,1.22,879.856802
2,919.661537,1467.364351,1.22,796.9930488
2,901.4521361,1443.459722,1.22,789.9616163
2,951.3759123,1451.705321,1.22,681.9562756
2,905.9570794,1468.941917,1.22,669.9369145
2,941.1717524,1463.757572,1.22,637.0432024
2,909.6294512,1430.778857,1.22,629.6963831
2,951.5529239,1487.862829,1.22,2037.093392
2,918.9220201,1512.825259,1.22,1118.765284
2,925.9355001,1498.140563,1.22,971.169068
2,920.6170852,1485.726861,1.22,919.006554
2,936.2255666,1512.057052,1.22,867.3948874
2,945.8116722,1505.985462,1.22,836.1205615
2,952.6456946,1503.142707,1.005997921,704.6445795
2,906.5728886,1488.771855,1.22,679.5691679
2,919.4062917,1551.481066,1.190202787,1290.262583
2,1001.03381,1466.508473,1.22,2087.415986
2,1016.193245,1468.865119,1.22,1450.258412
2,994.7652086,1442.028298,1.22,1404.310267
2,985.4109543,1453.807375,1.22,1214.31525
2,997.6028064,1467.241852,1.22,1076.071771
2,977.170147,1448.237838,1.106512178,957.612815
2,994.6129938,1445.60504,1.074113486,921.9197334
2,972.6841662,1468.884779,1.22,760.6470746
2,991.1598026,1440.11957,1.22,665.3801697
2,991.5548423,1509.647203,1.22,1295.90424
2,987.4291599,1487.875871,1.22,1103.59173
2,1009.847697,1503.475183,1.22,1096.15817
2,980.7290052,1500.018814,1.22,1168.336432
2,992.9071817,1487.816047,1.22,1048.137636
2,969.7720137,1479.799094,1.22,1020.555729
2,985.6422184,1498.487857,1.22,871.6519559
2,987.5658338,1510.645507,1.22,890.7166089
2,981.8849402,1504.24918,1.22,867.0436278
2,1010.370543,1486.862524,1.22,847.3034568
2,1003.191323,1522.048481,1.22,758.6156535
2,1006.873627,1508.028903,1.22,801.7499396
2,1017.051604,1482.960163,1.22,699.6180871
2,1013.323451,1505.202308,1.22,632.4491442
2,1010.743311,1475.602007,1.22,603.3913513
2,767.1454371,1445.897487,1.22,1147.311591
2,765.3855552,1472.673075,1.22,910.9110955
2,768.4621254,1469.021006,1.22,842.170298
2,769.9601883,1538.181153,1.22,1728.828968
2,766.5816891,1506.343819,1.22,997.8920478
2,768.5349423,1528.884235,1.22,1001.042466
2,766.6001381,1525.138124,1.22,860.5510164
2,763.4227311,1539.35436,1.22,605.8360467
2,812.12044,1408.919543,1.22,1420.602361
2,799.9733314,1410.485355,1.22,941.6834219
2,832.8854485,1396.104396,1.22,813.8482928
2,771.7686393,1436.006572,1.22,1068.952642
2,830.7625961,1416.20743,1.22,922.555433
2,771.8945202,1439.19912,1.22,620.1815679
2,771.5259428,1483.308987,1.22,2459.212398
2,828.8139553,1478.834712,1.22,1935.165661
2,774.3748239,1537.070739,1.22,1852.135214
2,797.6127563,1478.010573,1.22,1500.627872
2,770.5867211,1497.240321,1.22,1158.774486
2,773.3579833,1486.927169,1.22,1062.402607
2,772.586008,1541.025468,1.22,873.8964774
2,772.4766408,1480.304042,1.22,706.3799606
2,768.9434781,1486.302239,1.22,681.8177057
2,779.9782639,1541.988011,1.22,1729.311129
2,783.0327443,1540.63492,1.22,697.7660323
2,874.0671892,1408.780592,1.22,1167.851817
2,837.3701992,1403.21718,1.22,866.8027689
2,882.037292,1410.954382,1.22,834.068508
2,894.4056469,1455.817262,1.22,2278.669632
2,877.5886373,1474.716872,1.22,1859.12664
2,896.9865918,1473.730129,1.22,915.0585826
2,886.7155349,1477.531203,1.22,870.6191494
2,893.2798029,1478.370987,1.22,1040.20531
2,837.9340268,1477.507102,1.22,938.9793863
2,883.2236374,1543.658132,1.22,2160.607996
2,833.9841828,1541.282297,1.22,618.6335259
2,896.7013336,1454.245412,1.22,1639.351465
2,962.8919376,1478.300115,1.191630671,1374.859179
2,915.1580003,1474.570398,1.22,1087.565807
2,952.4523749,1474.344773,1.22,933.0312958
2,905.1092154,1476.184602,1.163076201,828.7498658
2,961.4006216,1448.765221,1.22,763.8429502
2,935.8873064,1476.716083,1.22,1514.76862
2,944.0433173,1477.860638,1.22,921.7448876
2,898.4422577,1524.282579,1.22,764.3657392
2,901.0522964,1547.973278,1.22,916.2641164
2,1014.226677,1475.399941,1.22,2422.84579
2,963.2712651,1463.41416,1.22,2172.844553
2,964.2419644,1441.104638,1.22,1211.373
2,1025.035709,1464.023785,1.22,724.5466747
2,960.2549155,1464.506568,1.22,723.8705318
2,1011.188032,1479.507926,1.22,1655.881398
2,1015.986005,1479.293637,1.22,1195.659316
2,965.2660799,1496.397596,1.22,854.7521486
2,974.2781442,1541.864444,1.189195721,724.1704466
3,758.2953663,1514.228585,1.22,627.1586848
3,803.8997372,1446.217215,1.22,1488.047838
3,803.1268394,1439.061,1.22,1175.94936
3,824.1656361,1462.860419,1.22,966.1306452
3,815.5352752,1447.608953,1.22,875.616581
3,796.6699302,1455.158655,1.22,771.3248798
3,798.6761243,1459.012771,1.22,716.3522295
3,810.4408201,1419.399914,1.22,687.2505892
3,788.4648587,1463.710868,1.22,627.8397343
3,786.7959897,1508.919842,1.22,874.9697759
3,820.3691853,1528.966395,1.22,811.2367908
3,818.3384688,1511.861067,1.22,780.4473664
3,808.8761343,1513.077256,1.22,691.2043956
3,773.9630197,1492.792529,1.22,659.0118689
3,776.50258,1556.319473,1.22,744.8898989
3,883.2938592,1405.111343,1.22,708.6160563
3,884.2916887,1442.939034,1.22,1031.8091
3,854.0146333,1437.176514,1.22,931.4652365
3,880.4729278,1470.667662,1.22,744.6959144
3,862.3853829,1416.429173,1.22,774.9552873
